Postcode,Activity
4200,-0.688228144
4220,-0.368596632
4230,-0.178197192
4240,-0.019753611
4250,-0.275925619
4260,-0.221936564
4300,0.237547243
4310,0.110651679
4320,-0.397143589
4330,-0.393080492
4340,-0.530522187
4350,-0.22502073
4360,-0.540108953
4380,-0.272352132
4400,0.14607118
4410,-0.013057541
4420,-0.808578459
4430,0.094097321
4440,-0.570674346
4460,-0.315329884
4480,0.150238819
4500,0.331272149
4530,0.227312495
4600,0.285945767
4620,-0.029783798
4630,0.133767535
4660,0.284481028
4680,0.342444951
4740,0.084139903
4770,-0.666256158
4920,0.480518765
5100,0.324475178
5200,0.280734839
5250,0.711058006
5400,0.130432397
5430,0.211008209
5440,-0.200317684
5450,0.10739876
5460,0.233707145
5470,0.204258758
5510,0.207515234
5620,0.103040369
5720,0.580997146
5800,-0.066212991
5810,-0.066813728
5820,-0.02922729
5830,0.0381347
5840,-0.107911658
5850,0.17535342
5860,0.11728541
5880,0.246750579
5900,0.308454493
5950,0.483630142
6100,0.32674462
6150,-0.604628347
6200,0.425199066
6400,-0.534290857
6450,-0.326890957
6500,-0.099848799
6650,-0.117431559
6750,0.080496054
6830,0.272105007
6850,0.012823638
6880,0.77755965
6950,0.7174259
7110,0.207069321
7150,0.105871475
7170,-0.164059398
7190,0.14069176
7220,-0.353913747
7230,-0.306664731
7280,0.072789963
7310,0.443964671
7350,0.658142665
7370,0.847658136
7390,0.658746415
7500,0.068231441
7510,0.433202819
7530,0.078513218
7560,-0.050161812
7565,0.373898447
7600,-0.271742734
7680,-0.448935514
7700,0.408913352
7720,0.2868362
7740,0.27332121
7750,0.633088541
7780,0.810681927
7800,-0.538530735
7810,0.164319249
7820,0.038606403
7830,0.73203658
7850,0.295825771
7870,0.025742574
7880,0.394879227
7890,0.085972851
7900,0.301797975
7910,0.059628344
7920,0.600843133
7930,0.404628891
7940,-0.432027257
7945,-0.256488976
7955,0.136292777
7960,0.516133764
7970,0.340275823
7980,-0.400447427
7990,0.27359882
8100,0.141615579
8150,-0.44806715
8200,-0.919798564
8350,0.241461416
8450,0.178182981
8480,0.548795037
8500,0.173406241
8680,0.276977659
8700,-0.263253949
8800,0.56645149
9120,0.621820818
9220,0.4437634
9430,0.372677794
9520,0.151370161
9630,0.26881616
9810,0.441282051
9930,0.011709602
10120,0.248130355
10140,0.211358503
10160,0.492024849
10210,0.347488737
10230,0.230373934
10250,0.728254524
10270,0.867817551
10300,0.490534128
10320,-2.14285714
10330,-0.579013906
10360,0.442395162
10380,0.39341344
10410,0.295002821
10420,0.289229087
10440,0.375011707
10470,0.407436247
10480,0.867379007
10520,0.50768393
10570,0.832654572
10600,0.485303867
10620,0.541884698
10640,0.515146194
10650,0.059074562
10660,0.579232089
10680,0.501955671
10710,0.495525292
10820,0.690362192
10900,0.500160295
10940,0.340874334
10960,0.178813027
