id,cid,mcc,mnc,technology,area,psc,measurements,latitude,longitude,last_update,created_at,source
"517066634,726398,240,07,""HSPA,HSPA+"",11,\N,81,66.2781215974,23.705817277,2018-04-28,2018-04-28,openbmap"
517080445,3605,244,05,EDGE,15100,\N,6,62.5424968,26.94164113,2017-08-07,2017-08-07,openbmap
517080446,36185,244,05,EDGE,15100,\N,18,61.89114218,26.11396192,2017-03-26,2017-03-26,openbmap
517080447,36275,244,05,EDGE,15100,\N,264,62.3385297664,26.5348962461,2017-08-07,2017-08-07,openbmap
517080448,41149,244,05,EDGE,15100,\N,48,62.4460309938,26.7877005663,2017-08-07,2017-08-07,openbmap
517080449,4187,244,05,EDGE,15100,\N,30,62.46407196,26.815586376,2017-08-07,2017-08-07,openbmap
517080450,1234,244,05,GSM,15200,\N,1,61.8711886,28.860829,2009-06-30,2009-06-30,openbmap
517080451,1264,244,05,GSM,15200,\N,23,61.4405115783,29.407606987,2009-07-03,2009-07-03,openbmap
517080452,1270,244,05,GSM,15200,\N,1067,61.7926235151,29.3262469056,2009-07-03,2009-06-27,openbmap
517080453,1272,244,05,GSM,15200,\N,15,61.8802404333,28.8539838933,2009-06-30,2009-06-30,openbmap
517080454,1275,244,05,GSM,15200,\N,52,61.5747212558,29.4954897596,2009-07-03,2009-07-03,openbmap
517080455,1288,244,05,GSM,15200,\N,51,61.8693999118,28.8747216902,2009-06-30,2009-06-30,openbmap
517080456,15479,244,05,GSM,15200,\N,26,61.5111066385,29.5005663115,2009-07-03,2009-07-03,openbmap
"517080457,15544,244,05,""GSM,EDGE"",15200,\N,135,62.1240173462,28.442262987,2015-08-31,2015-08-31,openbmap"
517080458,16200,244,05,GSM,15200,\N,38,61.8681702211,28.8975974526,2009-06-30,2009-06-30,openbmap
517080459,16201,244,05,GSM,15200,\N,31,61.8679327452,28.8982702484,2009-06-30,2009-06-30,openbmap
517080460,16202,244,05,GSM,15200,\N,30,61.8677756833,28.89328297,2009-06-30,2009-06-30,openbmap
517080461,16471,244,05,GSM,15200,\N,38,61.8763133342,28.9960385737,2009-06-30,2009-06-30,openbmap
517080462,16503,244,05,GSM,15200,\N,30,61.87070658,28.9400688667,2009-06-30,2009-06-30,openbmap
517080463,16742,244,05,GSM,15200,\N,11,61.8682419636,28.9405847,2009-06-30,2009-06-30,openbmap
517080464,16744,244,05,GSM,15200,\N,10,61.86846373,28.904526099999998,2009-06-30,2009-06-30,openbmap
517080465,17079,244,05,GSM,15200,\N,2,61.77429495,29.34789515,2009-06-27,2009-06-27,openbmap
517080466,17433,244,05,GSM,15200,\N,20,61.868704745,28.905581575,2009-06-30,2009-06-30,openbmap
517080467,2219,244,05,GSM,15200,\N,150,61.8684069647,28.8709769147,2009-06-30,2009-06-30,openbmap
517080468,2232,244,05,GSM,15200,\N,42,61.8800025452,29.031706819,2009-06-30,2009-06-30,openbmap
517080469,2248,244,05,EDGE,15200,\N,42,62.1252242314,28.44488213,2015-08-31,2015-08-31,openbmap
517080470,2275,244,05,GSM,15200,\N,19,61.8033659158,29.2922776947,2009-07-01,2009-06-28,openbmap
517080471,30002,244,05,GSM,15200,\N,58,61.8792374569,28.8546975466,2009-06-30,2009-06-30,openbmap
517080472,30003,244,05,GSM,15200,\N,59,61.8690957034,28.866976439,2009-06-30,2009-06-30,openbmap
517080473,30042,244,05,GSM,15200,\N,22,61.8684593636,28.9333318591,2009-06-30,2009-06-30,openbmap
517080474,30043,244,05,GSM,15200,\N,1,61.8828651,29.0736401,2009-06-30,2009-06-30,openbmap
517080475,30044,244,05,GSM,15200,\N,1,61.8794303,28.8548289,2009-06-30,2009-06-30,openbmap
517080476,30104,244,05,GSM,15200,\N,558,61.8066424925,29.2837101473,2009-07-03,2009-06-27,openbmap
517080477,30112,244,05,GSM,15200,\N,39,61.649639141,29.4263455487,2009-07-03,2009-07-03,openbmap
517080478,30113,244,05,GSM,15200,\N,40,61.43652909,29.3920081625,2009-07-03,2009-07-03,openbmap
517080479,30116,244,05,GSM,15200,\N,2,61.80551695,29.2059196,2009-06-29,2009-06-29,openbmap
517080480,30123,244,05,EDGE,15200,\N,9,62.1570257267,28.3592284233,2015-08-31,2015-08-31,openbmap
517080481,30216,244,05,GSM,15200,\N,1211,61.819931077,29.2658949502,2009-07-03,2009-06-27,openbmap
517080482,30217,244,05,GSM,15200,\N,36,61.53690615,29.5074589333,2009-07-03,2009-07-03,openbmap
517080483,3218,244,05,GSM,15200,\N,393,61.8053398649,29.2867498463,2009-07-01,2009-06-27,openbmap
517080484,3221,244,05,GSM,15200,\N,94,61.8807700096,29.0541440702,2009-06-30,2009-06-30,openbmap
517080485,3235,244,05,GSM,15200,\N,383,61.8140893642,29.2628470762,2009-07-03,2009-06-27,openbmap
517080486,3398,244,05,GSM,15200,\N,11,61.5615551909,29.5092041636,2009-07-03,2009-07-03,openbmap
517080487,3399,244,05,GSM,15200,\N,19,61.4132182737,29.3246977316,2009-07-03,2009-07-03,openbmap
517080488,3436,244,05,GSM,15200,\N,58,61.8096837897,29.2758165069,2009-07-01,2009-06-28,openbmap
517080489,3473,244,05,EDGE,15200,\N,63,62.1255803376,28.4417278814,2015-08-31,2015-08-31,openbmap
517080490,3481,244,05,GSM,15200,\N,35,61.6743477943,29.4194354143,2009-07-03,2009-07-03,openbmap
517080491,3486,244,05,GSM,15200,\N,7,61.6408299429,29.4264138286,2009-07-03,2009-07-03,openbmap
517080492,35064,244,05,GSM,15200,\N,17,61.8017537529,29.2965329059,2009-07-01,2009-06-27,openbmap
517080493,35066,244,05,GSM,15200,\N,266,61.7748676823,29.3604816816,2009-07-03,2009-06-27,openbmap
517080494,35463,244,05,GSM,15200,\N,16,61.8726052438,28.9513336688,2009-06-30,2009-06-30,openbmap
517080495,35464,244,05,GSM,15200,\N,19,61.8710700737,28.9485583632,2009-06-30,2009-06-30,openbmap
517080496,35467,244,05,GSM,15200,\N,9,61.8750508778,28.8555808,2009-06-30,2009-06-30,openbmap
517080497,35709,244,05,GSM,15200,\N,175,61.7558356514,29.3850745109,2009-07-03,2009-06-27,openbmap
517080498,35939,244,05,EDGE,15200,\N,117,62.1342255844,28.4166883313,2015-08-31,2015-08-31,openbmap
"517080499,35940,244,05,""GSM,EDGE"",15200,\N,90,62.1183352233,28.4574871389,2015-08-31,2015-08-31,openbmap"
517080500,35941,244,05,GSM,15200,\N,3,61.8781791333,29.0089654667,2009-06-30,2009-06-30,openbmap
517080501,35960,244,05,GSM,15200,\N,80,61.8680497525,28.8790393763,2009-06-30,2009-06-30,openbmap
517080502,35961,244,05,GSM,15200,\N,17,61.7395540882,29.3848226529,2009-07-03,2009-06-27,openbmap
517080503,35970,244,05,GSM,15200,\N,4,61.858459,29.17670055,2009-06-30,2009-06-30,openbmap
517080504,3671,244,05,GSM,15200,\N,469,61.7989478687,29.3219427412,2009-06-29,2009-06-27,openbmap
517080505,3673,244,05,GSM,15200,\N,9,61.3345116667,29.1255985778,2009-07-03,2009-07-03,openbmap
517080506,37259,244,05,GSM,15200,\N,29,61.8679049379,28.899447531,2009-06-30,2009-06-30,openbmap
517080507,37260,244,05,GSM,15200,\N,23,61.8680945652,28.9070819522,2009-06-30,2009-06-30,openbmap
517080508,37261,244,05,GSM,15200,\N,19,61.8781768053,28.8547741158,2009-06-30,2009-06-30,openbmap
517080509,37262,244,05,GSM,15200,\N,72,61.8800521972,28.8543541889,2009-06-30,2009-06-30,openbmap
517080510,37265,244,05,GSM,15200,\N,31,61.8773724194,28.9898875484,2009-06-30,2009-06-30,openbmap
517080511,37266,244,05,GSM,15200,\N,29,61.8748539862,28.9618823517,2009-06-30,2009-06-30,openbmap
517080512,37273,244,05,GSM,15200,\N,71,61.8798046831,28.8543350718,2009-06-30,2009-06-30,openbmap
517080513,37683,244,05,GSM,15200,\N,134,61.8010200649,29.3273509836,2009-07-03,2009-06-27,openbmap
517080514,37846,244,05,GSM,15200,\N,1,61.7703641,29.3593273,2009-06-27,2009-06-27,openbmap
517080515,37848,244,05,GSM,15200,\N,1284,61.822379669,29.2564750362,2009-07-03,2009-06-27,openbmap
517080516,37860,244,05,GSM,15200,\N,23,61.5280583087,29.5116958783,2009-07-03,2009-07-03,openbmap
517080517,37861,244,05,GSM,15200,\N,29,61.5747812241,29.4970072034,2009-07-03,2009-07-03,openbmap
517080518,37862,244,05,GSM,15200,\N,3,61.6160555333,29.4493378333,2009-07-03,2009-07-03,openbmap
517080519,37865,244,05,GSM,15200,\N,2,61.3024842,29.05598835,2009-07-03,2009-07-03,openbmap
517080520,37870,244,05,GSM,15200,\N,67,61.8802287075,28.8542873821,2009-06-30,2009-06-30,openbmap
517080521,37871,244,05,GSM,15200,\N,141,61.8684375277,28.8698244199,2009-06-30,2009-06-30,openbmap
517080522,37873,244,05,GSM,15200,\N,68,61.8802169662,28.8542953456,2009-06-30,2009-06-30,openbmap
"517080523,37881,244,05,""GSM,EDGE"",15200,\N,21,62.117229802,28.459795203,2015-08-31,2015-08-31,openbmap"
517080524,38438,244,05,GSM,15200,\N,33,61.8811957545,29.084060697,2009-06-30,2009-06-30,openbmap
517080525,38442,244,05,GSM,15200,\N,67,61.4601858224,29.4189213448,2009-07-03,2009-07-03,openbmap
517080526,38443,244,05,GSM,15200,\N,27,61.5312965222,29.5120075926,2009-07-03,2009-07-03,openbmap
517080527,38452,244,05,GSM,15200,\N,3,61.4848006,29.4743766667,2009-07-03,2009-07-03,openbmap
517080528,38453,244,05,GSM,15200,\N,29,61.5994398345,29.4760856793,2009-07-03,2009-07-03,openbmap
517080529,38459,244,05,GSM,15200,\N,3,61.8802438667,28.8540913667,2009-06-30,2009-06-30,openbmap
517080530,38460,244,05,GSM,15200,\N,48,61.8802588667,28.8542611875,2009-06-30,2009-06-30,openbmap
517080531,38479,244,05,GSM,15200,\N,76,61.8680686526,28.8690169763,2009-06-30,2009-06-30,openbmap
517080532,38480,244,05,GSM,15200,\N,63,61.8685534667,28.8691039381,2009-06-30,2009-06-30,openbmap
517080533,38485,244,05,GSM,15200,\N,21,61.8770504095,28.978606619,2009-06-30,2009-06-30,openbmap
517080534,38498,244,05,GSM,15200,\N,25,61.57457282,29.500777048,2009-07-03,2009-07-03,openbmap
517080535,38499,244,05,GSM,15200,\N,43,61.6183257628,29.4542374442,2009-07-03,2009-07-03,openbmap
517080536,38503,244,05,GSM,15200,\N,4,61.880208225,28.853967625,2009-06-30,2009-06-30,openbmap
517080537,38504,244,05,GSM,15200,\N,1184,61.8258068448,29.248318421,2009-07-03,2009-06-27,openbmap
