technology,latitude,longitude
GSM,61.4361452,26.6683055
GSM,61.4337598778,26.6449190111
GSM,61.5259677769,26.8530572154
GSM,61.5065294524,26.8016650333
GSM,61.48589754,26.76685296
EDGE,62.122837875,28.45229624
EDGE,62.122837875,28.45229624
EDGE,62.122837875,28.45229624
GSM,61.5580991615,26.95023215
GSM,61.6357089636,27.0713791
GSM,61.777369875,27.5899916667
GSM,61.7084173,27.42674413
GSM,61.67629085,27.24027665
GSM,61.7605904,27.57202436
GSM,61.6504580417,27.1334091667
GSM,61.7212667688,27.4770207063
GSM,61.8709309778,27.7497070889
GSM,61.78885635,27.5971173
GSM,61.5905479,27.0264226
GSM,61.5845332077,27.0138353538
GSM,61.704184,27.3284927
GSM,61.6960022,27.30832145
GSM,61.7010639,27.31772884
GSM,61.7038610571,27.3826646071
GSM,61.7033574667,27.3554844667
GSM,61.7045718,27.3412124
GSM,61.6916478333,27.3036984333
GSM,61.67962105,27.26803235
GSM,61.6780635,27.254428
GSM,61.71073945,27.45079195
GSM,61.7438553,27.5321187174
GSM,61.533213975,26.8746261
GSM,61.5388310222,26.8927951222
GSM,61.8525335,27.6988461778
GSM,61.8644521,27.7318304
GSM,61.6106412286,27.0477815
GSM,61.6440595,27.0929021
GSM,61.8401861,27.66477765
GSM,61.8104300583,27.6148910125
GSM,61.8348395167,27.6522318333
GSM,61.66410986,27.222283
GSM,61.65867895,27.20718525
GSM,61.688393,27.29645755
GSM,61.6866219667,27.2873617667
GSM,61.6576407,27.201068
GSM,61.6532388,27.1510414667
GSM,61.897911797,27.8067000303
GSM,61.8974126779,27.8058841261
GSM,61.68255838,27.2774062
EDGE,61.88375323,26.11255214
GSM,61.6247086,27.0597152
GSM,61.671853775,27.23214125
GSM,61.65605765,27.19566305
GSM,61.6542361,27.1441194
GSM,61.6535133429,27.1604933286
EDGE,62.54264725,26.942369575
EDGE,62.5424968,26.94164113
EDGE,61.89114218,26.11396192
EDGE,62.3385297664,26.5348962461
EDGE,62.4460309938,26.7877005663
EDGE,62.46407196,26.815586376
GSM,61.8711886,28.860829
GSM,61.4405115783,29.407606987
GSM,61.7926235151,29.3262469056
GSM,61.8802404333,28.8539838933
GSM,61.5747212558,29.4954897596
GSM,61.8693999118,28.8747216902
GSM,61.5111066385,29.5005663115
GSM,61.8681702211,28.8975974526
GSM,61.8679327452,28.8982702484
GSM,61.8677756833,28.89328297
GSM,61.8763133342,28.9960385737
GSM,61.87070658,28.9400688667
GSM,61.8682419636,28.9405847
GSM,61.86846373,28.904526099999998
GSM,61.77429495,29.34789515
GSM,61.868704745,28.905581575
GSM,61.8684069647,28.8709769147
GSM,61.8800025452,29.031706819
EDGE,62.1252242314,28.44488213
GSM,61.8033659158,29.2922776947
GSM,61.8792374569,28.8546975466
GSM,61.8690957034,28.866976439
GSM,61.8684593636,28.9333318591
GSM,61.8828651,29.0736401
GSM,61.8794303,28.8548289
GSM,61.8066424925,29.2837101473
GSM,61.649639141,29.4263455487
GSM,61.43652909,29.3920081625
GSM,61.80551695,29.2059196
EDGE,62.1570257267,28.3592284233
GSM,61.819931077,29.2658949502
GSM,61.53690615,29.5074589333
GSM,61.8053398649,29.2867498463
GSM,61.8807700096,29.0541440702
GSM,61.8140893642,29.2628470762
GSM,61.5615551909,29.5092041636
GSM,61.4132182737,29.3246977316
GSM,61.8096837897,29.2758165069
EDGE,62.1255803376,28.4417278814
GSM,61.6743477943,29.4194354143
GSM,61.6408299429,29.4264138286
GSM,61.8017537529,29.2965329059
GSM,61.7748676823,29.3604816816
GSM,61.8726052438,28.9513336688
GSM,61.8710700737,28.9485583632
GSM,61.8750508778,28.8555808
GSM,61.7558356514,29.3850745109
EDGE,62.1342255844,28.4166883313
GSM,61.8781791333,29.0089654667
GSM,61.8680497525,28.8790393763
GSM,61.7395540882,29.3848226529
GSM,61.858459,29.17670055
GSM,61.7989478687,29.3219427412
GSM,61.3345116667,29.1255985778
GSM,61.8679049379,28.899447531
GSM,61.8680945652,28.9070819522
GSM,61.8781768053,28.8547741158
GSM,61.8800521972,28.8543541889
GSM,61.8773724194,28.9898875484
GSM,61.8748539862,28.9618823517
GSM,61.8798046831,28.8543350718
GSM,61.8010200649,29.3273509836
GSM,61.7703641,29.3593273
GSM,61.822379669,29.2564750362
GSM,61.5280583087,29.5116958783
GSM,61.5747812241,29.4970072034
GSM,61.6160555333,29.4493378333
GSM,61.3024842,29.05598835
GSM,61.8802287075,28.8542873821
GSM,61.8684375277,28.8698244199
GSM,61.8802169662,28.8542953456
GSM,61.8811957545,29.084060697
GSM,61.4601858224,29.4189213448
GSM,61.5312965222,29.5120075926
GSM,61.4848006,29.4743766667
GSM,61.5994398345,29.4760856793
GSM,61.8802438667,28.8540913667
GSM,61.8802588667,28.8542611875
GSM,61.8680686526,28.8690169763
GSM,61.8685534667,28.8691039381
GSM,61.8770504095,28.978606619
GSM,61.57457282,29.500777048
GSM,61.6183257628,29.4542374442
GSM,61.880208225,28.853967625
GSM,61.8258068448,29.248318421
GSM,61.8774287455,28.9828713545
GSM,61.89926144,28.65971738
GSM,61.8720427151,28.8843884226
GSM,61.8282990994,29.2086032479
GSM,61.7896996357,29.3205475004
GSM,61.8456785215,29.2136568951
GSM,61.816604119,29.2728799632
GSM,61.7927370758,29.3293618489
GSM,61.39170835,29.27093225
GSM,61.898569425,28.6568985233
GSM,61.4803485,29.4334867286
GSM,61.88016465,28.8535072
GSM,61.57606964,29.49397998
GSM,61.731871,29.3907192
GSM,61.6386014805,29.4371304683
GSM,61.72814299,29.3904465114
GSM,61.7448185857,29.3916683286
EDGE,62.11328687,28.47051236
GSM,61.80352125,29.29311945
GSM,61.87945502,29.0231106717
GSM,61.8392791718,29.2323009261
GSM,61.80535796,29.28649276
GSM,61.8821312131,28.8350998551
GSM,61.8982802959,28.6556265965
GSM,61.898099759,28.654666419
EDGE,62.23005832,25.90263868
GSM,61.827263384,29.2452430864
GSM,61.6302191125,29.4326341875
GSM,61.7711973,29.3554886
GSM,61.7631084667,29.37898685
GSM,61.8223729875,29.2420409875
GSM,61.8053875875,29.2998361313
GSM,61.3910361037,29.271440637
GSM,61.3646477167,29.2102693792
GSM,61.7619741673,29.3814880455
GSM,61.8013683,29.2079486
GSM,61.8803236,29.0312026
GSM,61.8685632,28.9477049286
GSM,61.8687165,28.8849771818
GSM,61.8680039213,28.8691754652
GSM,61.8688473182,28.8725003409
GSM,61.8771779833,28.9909429583
GSM,61.876053275,28.954972525
GSM,61.8684506667,28.9320662625
GSM,61.8806210125,29.0391392625
GSM,61.8683363111,28.9426439778
GSM,61.86750062,28.93688428
GSM,61.765798792,29.373612942
GSM,61.6872614714,29.4119934143
GSM,61.86717652,28.89631829
GSM,61.8705822,28.9126926
GSM,61.867638,28.8885688
GSM,61.8678758639,28.8695992656
GSM,61.8684251652,28.8702281348
GSM,61.8682176992,28.8695317354
GSM,61.8678855333,28.9251584333
GSM,61.8686994483,28.9217665552
GSM,61.8682280606,28.9273788818
GSM,61.8683291842,28.9286002579
GSM,61.8684549542,28.9251250875
GSM,61.57296727,29.49651438
GSM,61.442910286,29.406265434
GSM,61.4097482811,29.3250667849
GSM,61.4457275708,29.4092139625
GSM,61.464748025,29.43965681
GSM,61.522351885,29.48770941
GSM,61.7614364942,29.3785773564
GSM,61.6803170206,29.4178353706
GSM,61.734778811,29.3949573822
GSM,61.8398861296,29.2273122899
GSM,61.591597966,29.4807332566
EDGE,62.1336472,28.41419421
GSM,61.8753455,29.11715235
GSM,60.165494333,24.927386167
EDGE,67.7360950813,23.6078401497
EDGE,68.1771243784,24.1441361086
EDGE,67.7090024724,23.5997643801
EDGE,67.718822775,23.610899085
EDGE,67.9557612347,23.6786101307
EDGE,68.4230506806,23.974152525
EDGE,67.945484903,23.715756466
EDGE,67.9455729281,23.6586139141
GSM,68.1940259753,25.7835287078
GSM,68.1681425966,25.738345819
EDGE,68.0348109851,25.2437583449
EDGE,68.0341260533,25.2453552235
