technology,latitude,longitude
LTE,60.16910773,24.95701215
LTE,60.16537916,24.945986495
LTE,60.1672137329,24.9255215614
LTE,60.1679908567,24.92800439
LTE,60.1569480589,24.9374135505
LTE,60.15776056,24.9343567533
LTE,60.16648435,24.947585455
LTE,60.16645369,24.94629496
LTE,60.17265359,24.94912058
LTE,60.16873302,24.94099689
LTE,60.17210667,24.93377082
LTE,60.1718421075,24.93292922
LTE,60.17282697,24.93971895
LTE,60.17274108,24.93674528
LTE,60.17229379,24.94498503
LTE,60.16716496,24.96353377
LTE,60.17154043,24.94112956
LTE,60.16917313,24.95763993
LTE,60.1770080478,24.9367968343
LTE,60.1724287067,24.9384952067
LTE,60.1681016833,24.9558567956
LTE,60.1679341321,24.9578163271
UMTS,60.1649428371,24.8489909018
LTE,60.15936251,24.94493775
LTE,60.15817049,24.94042131
UMTS,60.1874251512,24.871288264
LTE,60.1590461588,24.9422487175
LTE,60.17261096,24.94354161
LTE,60.15944344,24.9462232767
LTE,60.160946795,24.9465341225
LTE,60.1643180658,24.9400911775
GSM,60.1637937631,24.8752930043
UMTS,60.1639064894,24.8761265426
GSM,60.165031892,24.911983122
UMTS,60.1647469078,24.9132878958
UMTS,60.1671207854,24.9019708633
GSM,60.165042589,24.9245931421
UMTS,60.1643060057,24.9199370293
UMTS,60.1662578733,24.9271152945
GSM,60.1670428262,24.9272846847
UMTS,60.1670521623,24.9273239932
GSM,60.1642649189,24.918670539
UMTS,60.1642062103,24.91759626
UMTS,60.1786114286,24.9486054762
GSM,60.1630163858,24.8664126265
UMTS,60.1631031541,24.8652591008
UMTS,60.17237353,24.93500063
GSM,60.1654464839,24.8863719093
UMTS,60.1656199918,24.8883571192
GSM,60.1634762711,24.9139200068
UMTS,60.1691067438,24.932260909
GSM,60.166335887,24.8974179001
UMTS,60.1662812478,24.9021632963
LTE,60.1753388467,24.9303286967
UMTS,60.1636883258,24.9139310772
LTE,60.16755777,24.960256568
GSM,60.1731436669,24.94161511
UMTS,60.172778032,24.9417461721
UMTS,60.1640121823,24.9139159644
LTE,60.1665367775,24.9390496725
GSM,60.1726571662,24.9416863401
UMTS,60.1733161978,24.9418071043
LTE,60.1681424068,24.9312318691
GSM,60.163969329,24.8541469936
UMTS,60.1642525367,24.8524724549
GSM,60.1636433343,24.8554889141
UMTS,60.1631741162,24.858044958
GSM,60.1713396366,24.9409383073
UMTS,60.171704803,24.9417041466
GSM,60.163441021,24.9142458417
UMTS,60.163196109,24.9141265032
UMTS,60.1641918238,24.9172815816
UMTS,60.1641604195,24.9167841932
GSM,60.1660532208,24.8915654251
UMTS,60.1660723868,24.8919848804
GSM,60.1642322765,24.9146226443
GSM,60.1641836301,24.9140296822
GSM,60.1668257095,24.9060736769
UMTS,60.1667740482,24.9057095853
GSM,60.1647221195,24.8813672042
UMTS,60.164863579,24.8822368962
GSM,60.162578809,24.8676085824
UMTS,60.1734452554,24.871248467
UMTS,60.1690889165,24.9322288435
UMTS,60.18491066,24.9339533
UMTS,60.1664247573,24.9270559599
UMTS,60.1665856218,24.9272210923
LTE,60.17245728,24.94502548
GSM,60.1622874568,24.8647238574
UMTS,60.1632435317,24.8599514876
GSM,60.1627143808,24.8616623091
UMTS,60.1629541298,24.8597939897
GSM,60.1713983138,24.9419219332
UMTS,60.171792361,24.941405659
LTE,60.16868692,24.925199085
HSDPA,60.1552345212,24.9355277654
HSPA+,60.16864339,24.94069731
UMTS,60.16262668,24.93052741
UMTS,60.1575034318,24.9218558408
UMTS,60.157443205,24.9217644
UMTS,60.1514788918,24.917487076
